wikidata_name,wikidata_id,potential_drop,has_infobox,start_date,end_date,location_name,location_latlong,result,belligerent_sideA,belligerent_sideB,means_drones,means_airtoair,means_cruisemissiles,means_aerialbombing,means_closeairsupport,means_groundtroops,means_paramilitary,casualties_sideA,casualties_sideB,casualties_civilian,casualties_us,notes
Operation Hammer Down,Q30589255,0,1,2011-06-24,2011-06-30,"Gambir Jungle, Kunar Province, Northeast Afghanistan",NA,Success,Afghanistan; United States,Taliban insurgents,0,0,0,1,0,0,0,3,120,NA,NA,
Baraki Barak airstrike,Q4858273,0,1,2011-08-26,2011-08-26,"Baraki Barak district, Logar province, Afghanistan",NA,NA,NATO,Taliban,0,0,0,1,0,0,0,NA,NA,6,NA,NATO airstrike targeting Local Taliban commander Qari Hijran; four insurgents and three Afghan army members were killed
Operation Observant Compass,Q65066391,0,0,2011-10-12,2017-09-01,Central African Republic; Democratic Republic of Congo; South Sudan; Uganda,NA,NA,United States; South Sudan; Uganda; Central African Republic; Democratic Republic of Congo,Lord's Resistance Army,0,0,0,0,0,0,1,NA,NA,NA,NA,looks like this was an operation to apprehend Joseph Kony that was mainly a search mission
2011 NATO attack in Pakistan,Q543279,0,1,2011-11-26,2011-11-26,"Salala, Baizai Tehsil, Mohmand Agency, FATA, Pakistan",34.5°N 71.0°E,Pakistan closes NATO supply routes through Pakistan; Pakistan Army pu on heightened alert on Pakistani-Afghan Border; Pakistan boycotts the 2nd Bonn Conference of Afghanistan; Diplomatic tensions in Pakistan-United States relations,NATO; United States,Pakistan,0,0,0,1,1,1,0,0,28,NA,0,"""US led NATO forces""; generated a lot of public response"
Turkish involvement in the Syrian Civil War,Q18208094,0,1,2011-12-05,NA,Syria,NA,NA,Syrian Arab Republic; Syrian Democratic Forces; United States,Turkey Syrian opposition; Islamic State of Iraq and the Levant,0,0,0,1,0,0,0,4135,1598,1744,1,Conflict is three sided but Turkish Syrian opposition and ISIL are coded under side_A; article mentions US use of Turkish airbases but I'm not sure if these were cruise missiles or aerial bombing; estimate for casulaties of side_B includes mean of SDF casualties because Turkey estimated 5238 killed and the SDF estimated only 2347 killed 
2012 Kapisa airstrike,Q4625940,0,1,2012-02-08,2012-02-08,"Giawa village, Nijrab District, Kapisa Province, Afghanistan",NA,7 children between the age of 6-12 and one mentally handicapped 18-year-old,NATO,Taliban,0,0,0,1,0,0,0,NA,NA,8,0,NATO air raid; President Hamid Karzai called for an investigation; said to be strong anti-Taliban feelings in the area
Raid on Kunar,Q6444187,0,1,2012-02-17,2012-02-17,"Chawki district of Kunar province, Afghanistan",NA,NA,United States,Suspected Taliban insurgents,0,0,0,1,0,0,1,0,0,6,0,NATO operation of which the US was part of 
Rojava conflict,Q2384201,1,1,2012-07-19,NA,"Al-Hasakah Governorate, Syria; Raqqa Governorate, Syria; Aleppo Governorate, Syria",NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,Overall casualty estimate given as 17215-17241
September 2012 raid on Camp Bastion,Q15276208,0,1,2012-09-14,2012-09-14,"Camp Bastion, Helmand Province, Afghanistan",NA,NA,United States; United Kingdom; Tonga,Taliban ,0,0,0,0,1,0,1,2,14,NA,NA,side_A support part of ISAF/NATO
Turkey–ISIL conflict,Q20743978,0,1,2013-05-11,NA,Turkey; Syria; Iraq,NA,NA,Turkey,Islamic State of Iraq and the Levant,0,0,0,1,0,0,0,103,3500,844,0,
Insurgency in Egypt,Q22935835,1,1,2013-07-03,NA,Egypt,NA,NA,Egypt,Islamist; ISIL,0,0,0,0,0,0,0,NA,NA,NA,NA,"Timeline of terrorism in Egypt, no mention of U.S.; 772 total casualties"
2013 Syrian Kurdish–Islamist conflict,Q15109939,0,1,2013-07-16,NA,Northern Syria,NA,"Ongoing (Major increase in size of Rojava, Turkish military action against Rojava's expansion, Insurgency against Kurdish forces)","Syrian Democratic Forces; CJTF-OIR (United States, Australia, United Kingdom, France, Netherlands, United Arab Emirates, Saudi Arabia, Czech Republic, Iraq Kurdistan); Russia; Syria",Islamic State of Iraq and the Levant,0,0,0,1,0,0,0,11000,25336,NA,NA,"Page is listed as ""Rojava-Islamist conflict (2013-present); Conflict included more that two sides, The third side of the conflict was the al-Nusra Front, Free Syrian Army factions, and Fatah Haleb, no direct U.S action against third side"
2013 raid on Barawe,Q17000965,0,1,2013-10-05,2013-10-05,"Barawe, Somalia",NA,Seal Team Six withdrawal,United States,Al-Shabaab,0,0,0,0,0,0,1,0,0,NA,0,side A listed as Seal Team Six with an American Flag; navy seals; 
Arab Winter,Q17512479,1,1,2014-01-01,NA,Syria; Iraq; Egypt; Libya; Yemen,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,"caused by Arab Spring; Resulted in European migrant crisis; lists goals and methods; Start date listed as 2012/2014, there is disagreement on when the Arab Spring fully developed into the Arab Winter, coded as first of January 2014 because that seems like the most accurate date conclusion among scholars"
Iraqi Civil War (2014–2017),Q17984356,0,1,2014-01-01,2017-12-09,Iraq,NA,NA,Iraq;  Iraqi Armed Forces; Popular Mobilization Forces;  Iraqi Turkmen Front; Liwa Abu al-Fadhal al-Abbas; Iraqi Communist Party; Various self-defense groups and tribal militias; Iran; Hezbollah; Syria; Iraqi Kurdistan;  Peshmerga; Kurdish National Council; Sinjar Alliance; PKK; Syrian Kurdistan; CJTF-OIR; United States; United Kingdom; Australia; France; Italy; Jordan; Kuwait; Netherlands; Belgium; Turkey; Canada; Denmark; Morocco,Islamic State; Ansar al-Islam; White Flags; Iraqi Ba'ath Party; 1920 Revolution Brigade; Supreme Command for Jihad and Liberation; Army of the Men of the Naqshbandi Order; Al-Awda; Jaysh Muhammad;  Al-Qaeda in Iraq; Political Council for the Iraqi Resistance; Islamic Army in Iraq; Fallujah Military Council; Iraqi Hamas; Islamic Front for the Iraqi Resistance; Jaish al-Mujahideen; Jihad and Reform Front; Jaish al-Rashideen; Free Iraqi Army; Saudi Arabia; Syrian opposition;  Special Groups; Promised Day Brigades; Asa'ib Ahl al-Haq; Kata'ib Hezbollah;  Mahdi Army; Badr Brigades; Soldiers of Heaven; Iran; Hezbollah,0,0,0,1,0,1,0,28124,NA,67376,57,"Status: Iraqi government and allied victory against ISIL (Iraqi territorial integrity preserved; ISIL expelled from all strongholds by 11 November 2017; Iraqi forces announced end of ISIL control on 9 December 2017 after securing the western desert; Iraqi federal government captures 20% of territory controlled by KRG after an independence rederendum; Beginning of the Irawi insurgency (2017-present)); potential special forces but unclear; 44 of U.S.'s 57 casualties were non-hostile; Side B casualties total unknown, 3,371 killed in 2014 (by Iraqi/Kurdish forces)"
Islamic Front–Free Syrian Army conflict,Q15303938,1,1,2014-01-02,NA,Syria,NA,Ongoing,Free Syrian Army; United States; Turkey; Qatar; Saudi Arabia; France; Nour al-Din al-Zenki Movement; Syrian Liberation Front; Ahrar ash-Sham; Jabhat Ahl al-Sham,Tahrir al-Sham; Al-Qaeda; al-Rahman Legion; Ahrar al-Sharqiya,0,0,0,0,0,0,0,113500,29000,605,NA,"Lots of the beligerents only involved for certain periods of time, U.S. involved 2014-2017; Side A casualties seperated by group and include ranges, medians totaled and coded; Civilian casualties listed as 605, 76 unidentified killed, an additional 1,200 combatants and 150 civilians estimated killed, should i code 605 or 755?; no specific mention of U.S. action"
Libyan civil war (2014–),Q16911838,0,1,2014-05-16,NA,Libya,NA,NA,House of Representatives (Tobruk-based); Wagner Group; Sudan; Syria; Egypt; United Arab Emirates; Israel; Russia; France; Chad; Jordan; Belarus; Iran; United States; United Kingdom,ISIL,0,0,0,1,0,1,1,NA,NA,NA,NA,"Status: Ongoing (As of January 2020 the House of Representatives controls the eastern Cyrenaica region and parts of the southern Fezzan and Tripolitania regions and Sirte. The Government of National Accord controls most of the coastal Tripolitania including Tripoli and Misrata); U.S. only part of side A belligerents as support against ISIL; Fourth side involved but U.S. did not ally with them and onlu American action targeted ISIL; fourth side: National Salvation Government, Qatar, Sudan, Turkey, Iran, Shura Council of Benghazi Revolutionaries, al-Qaeda in the Islamic Maghreb, SCBR militia (Ansar al-Sharia, Libya Shield 1, February 17th Rafallah al-Sahati Brigade), Shura Council of Mujahideen in Derna, Ansar al-Sharia (Derna), Abu Salim Martyrs, Benghazi Defense Brigades, Ajdabiya Revolutionaries Shura Council, Derna Protection Force; 8, 788 killed in total "
Libyan civil war (2014–),Q16911838,0,1,2014-05-16,NA,Libya,NA,NA,Government of National Accord (Tripoli-based); Syrian Interim Government; Turkey; Qatar; Sudan; United States; United Kingdom; Italy,ISIL,0,0,0,1,0,1,1,NA,NA,NA,NA,"United States only involved in supporting side A against ISIL and diplomatic support; Unclear exactly what intervention action the U.S. used, no information on how intervention was used differently or distinclty depending on which groups they were allied with"
Salahuddin campaign,Q19574810,0,1,2014-06-05,2014-10-08,"Salahuddin Province, Iraq",NA,Major Iraqi victory: Iraqi Government forces retakes nearly all ISIL-held parts of the province,Iraq; Iran; Hezbollah; Asa'ib Ahl al-Haq; Kata'ib Hezbollah; Badr Organization; Muqawimun; United States; United Kingdom; United States; Canada; France,Islamic State of Iraq and the Levant; Ba'ath Party Loyalists,0,0,0,1,0,0,0,NA,3000,46,0,"US-led intervention consisted of US, UK, Canada, and France; Iranian-led intervention was Iran and Hezbollah; other remaining side_A belligerents are Shia militias; no precise casualty estimate given for side_A but ""several thousand"" were killed  "
Siege of Amirli,Q17984925,1899-12-30,1,2014-06-11,2014-08-31,"Amirli, Saladin Governorate, Iraq",NA,Decisive anti-ISIL allied victory,Iraqi government; United States,Islamic State; Ba'ath Party Loyalists ,0,0,0,1,0,0,0,16,147,NA,0,
2014 American raid in Libya,Q23022941,0,1,2014-06-14,2014-06-14,Libya,NA,American victory,United States ,Ansar al-Sharia - Libya,0,0,0,0,0,0,1,0,NA,NA,0,location: unkown location in Libya; delta force troops and fbi agents; purpose was to capture Abu Khattala
Battle of Tikrit,Q17286795,0,1,2014-06-26,2014-07-21,"Tikrit, Iraq",34°36′36″N 43°40′48″E,Major ISIL victory,Iraq; United States,Islamic State of Iraq and the Levant; Islamic Army in Iraq; Iraqi Ba'ath Party Loyalists,0,0,0,1,0,0,0,55,215,NA,NA,"Just says the U.S. participated in the battle on the Iraqi side, but the Washigton Post reported that some Iranian groups accussed the coalition of bombarding a pro-government headquarters in the city; The defeat coincided with ISIL's declaration of a worldwide caliphate on June 29"
Northern Iraq offensive,Q17984373,0,1,2014-08-01,2014-08-19,"Nineveh Governorate, Iraq; Kirkuk Governorate, Iraq",NA,Partial ISIL victory ,Republic of Iraq; United States,Islamic State of Iraq and the Levant,0,0,0,1,1,0,0,14,100,5000,0,
Battle for Mosul Dam,Q17573637,0,1,2014-08-16,2014-08-19,Mosul Dam,NA,Decisive Kurdish-Iraqi victory,Iraqi Kurdistan; Iraq; United States,Islamic State of Iraq and the Levant,0,0,0,1,0,0,0,NA,11,NA,NA,United States provided airstrike support
Derna campaign (2014–16),Q18639765,0,1,2014-10-05,2016-04-21,"Derna, Libya",NA,Shura Council of Mujahideen in Derna victory,Libyan parliament; Egypt; United States,Islamic State of Iraq and the Levant,0,0,0,1,0,0,0,14,83,3,NA,"Third side involved (Shara Council of Mujahideen in Derna) but no U.S. action against them, 21 killed side 3; Side B casualties 83 fighters killed, 6 fighters sentenced to death and executed"
Battle of Baiji (October–November 2014),Q19799151,0,1,2014-10-29,2014-12-21,"Baiji, Saladin Governorate, Iraq",NA,ISIL victory (Iraqi Army takes control of Baiji and breajs the siege of the oil refinery in mid-November 2014; ISIL recaptures the city and re-establishes the siege of the oil refinery in late December 2014),Iraq; Asa'ib Ahl al-Haq; Hezbollah; Iran; United States; United Kingdom; Canada,Islamic State of Iraq and the Levant,0,0,0,1,0,0,0,NA,100,197,NA,
Battle of Baiji (2014–15),Q17621839,0,1,2014-12-23,2015-10-22,"Baiji, Saladin Governorate, Iraq",NA,Decisive Anti-ISIL victory,Iraq; United States; United Kingdom; Canada,Islamic State of Iraq and the Levant,0,0,0,1,0,0,0,2500,1920,7,NA,7 civilians executed by ISIL
Mosul offensive (2015),Q20647259,0,1,2015-01-21,2015-02-10,"Mosul, Iraq",35.8003°N 43.2897°E,"Peshmerga victory (Kurdish Peshmerga forces cut crucial supply routes to Mosul, retake some nearby villages, and open three fronts to the northwest of Mosul, near Badush Dam; The US-led Coalition intensifies airstrikes near Mosul to support the campaign to retake the city; Peshmerga forces continue to hold the areas and roads they captured, with Coalition airstrikes hampering ISIL operations in the region)",Iraqi Kurdistan (Peshmerga); CJTF-OIR (United States; United Kingdom; Canada; Jordan; Morocco),Islamic State of Iraq and the Levant,0,0,0,1,0,0,0,NA,256,3,NA,SIde A casualties unknown
Al-Hasakah offensive,Q19428973,0,1,2015-02-21,2015-03-17,"Al-Hasakah Governorate, Syria",NA,YPG and Syrian Army victory east of Al-Hasakah; Partial ISIL victory west of Al-Hasakah,Syrian Kurdistan; Syriac Union Party; Al-Sanadid Forces; International Freedom Battalion; CJTF-OIR (United States); Iraqi Kurdistan; Syrian Arab Republic; Sootoro,Islamic State of Iraq and the Levant,0,0,0,1,1,0,0,155,405,NA,NA,"refers to Eastern al-Hasakah offensive; territorial changes listed; U.S. as air-strike support;  side b casualties 387-423 median coded; 287-400 Assyrian civilians kidnapped, at least 20,000 civilians displaced"
Second Battle of Tikrit,Q19407785,0,1,2015-03-02,2015-04-17,Tikrit; Saladin Governorate; Iraq,34°36′36″N 43°40′48″E,Anti-ISIL victory,Iraq; Iran; United States; United Kingdom; France,Islamic State of Iraq and the Levant; Ba'ath Party Loyalists,0,0,0,1,0,0,0,615,1982,46,0,US only involved from 25-31 March; UK only involved from 25-29 March; side_A casulaties are mean of estimate from 230-1000+; side_B casulaties are mean of estimate from 842-1142
Battle of Sarrin (March–April 2015),Q19691931,0,1,2015-03-17,2015-04-27,"Sarrin, Ayn al-Arab District, Syria",36.5875°N 38.299722°E,"Idecisive (An ISIL counterattack repels the initial YPG-led offensive on 28 March 2015; YPG-led forces enter Sarrin on 25 April 2015, but are stalled; YPG-led forces launch a new offensive on Sarrin in June 2015)",Syrian Kurdistan (YPG; YPJ); Free Syrian Army; CJTF-OIR (United States); Peshmerga,Islamic State of Iraq and the Levant,0,0,0,1,0,0,0,NA,24,NA,NA,Peshmerga only involved as side A belligerent until 2015-04-29
Al-Karmah offensive (2015),Q19864219,0,1,2015-04-14,2015-05-03,"Al-Jarmah, Anbar Governorate,  Iraq",33.399722°N 43.908889°E,Limited ISF gains (Iraqi security forces capture part of Al-Karmah),Iraq; United States; United Kingdom; Canada,Islamic State of Iraq and the Levant,0,0,0,1,0,0,0,NA,676,NA,NA,United Kingdom and Canada were air support; references aiir bombing but it is unclear if it was during this specific offensive; speculated that there was possible CAS during Operation  Inherent Resolve
Battle of Kunduz,Q21030182,0,1,2015-04-24,2015-10-14,"Kunduz, Kunduz Province, Afghanistan",36.728611°N 68.868056°E,Afghan victory (Taliban captures Kunduz on 27 September; Government forces launch a counter-offensive; Taliban withdraws from Kunduz on 14 October),Islamic Republic of Afghanistan; Resolute Support Mission (United States),Taliban,0,0,0,1,0,1,1,NA,140,NA,NA,"side b casualties 80-200 median coded, Afghan government claim denied by the Taliban; 848 civilians killed or wounded; unclear if ground troops are the same paramilitary troops or different ground forces"
Al-Hasakah offensive,Q20050670,0,1,2015-05-06,2015-05-31,"Al-Hasakah Governorate, Syria",NA,Major YPG and allied victory (Offensive operations in the Ras al-Ayn countryside expanded into the Tell Abyad region on 31 May 2015),Syrian Kurdistan; Syriac Union Party; Al-Sanadid Forces; CJTF-OIR (United States),Islamic State of Iraq and the Levant,0,0,0,1,0,0,0,55,NA,85,NA,"refers to Western al-Hasakah offensive; U.S. as air-strike support; side B casualty estimates 434-716 killed (YPG claim), 268 killed (SOHR claime); 50-120 civilians killed median coded"
May 2015 U.S. special forces raid in Syria,Q20860131,0,1,2015-05-15,2015-05-15,"al-Amr, Dier ez-Zor Governorate, Syria",NA,CJTF-OIR victory,United States; United Kingdom,Islamic State of Iraq and the Levant,0,0,0,0,1,0,1,0,62,NA,0,Senior ISIL leader Abu Sayyaf was killed in the raid; the UK supported with surveillance information but no military means
Battle of Sarrin (June–July 2015),Q20715216,0,1,2015-06-18,2015-07-27,"Sarrin, Ayn al-Arab District, Syria",36.5875°N 38.299722°E,YPG-led victory,Syrian Kurdistan (YPG; YPJ); Free Syrian Army; CJTF-OIR (United States),Islamic State of Iraq and the Levant,0,0,0,1,0,0,0,20,80,NA,NA,Coalition involved only in airstrikes
Al-Hasakah city offensive (June 2015),Q20241081,0,1,2015-06-23,2015-08-01,"Al-Hasakah, Syria",NA,Decisive Syrian Army and YPG/J victory,Syrian Kurdistan; Syriac Union Party; CJTF-OIR; Syrian Arab Republic (Syrian Armed Forces; Syrian Arab Air Force; Syrian Republican Guard),Islamic State of Iraq and the Levant,0,0,0,1,0,0,0,146,361,NA,NA,"side B casualties vary: 300 plus killed (AI Rai claim), 312 killed (SOHR claim), 386 killed (YPG claim), 444 plus killed (Syrian Army claim), average coded; territorial changes also listed"
Anbar campaign (2015–16),Q22935666,0,1,2015-07-13,2016-06-30,"Anbar Governorate, Iraq",NA,Major Iraqi Government victory,Iraq; United States; United Kingdom; Australia; France; Canada,Islamic State of Iraq and the Levant,0,0,0,1,1,0,0,321,3550,158,NA,"Side A United States, United Kingdom, Australia, France, and Canada provided air support; unconfirmed reports that US troops were expected to help the Iraqi army retake Ramadi, but Iraqi army spokesman said that US troops at the air base were there simply to provide military advice and coordinate raids against ISIL targets"
Battle of Ramadi (2015–16),Q21685887,0,1,2015-08-11,2016-02-09,"Ramadi, Anbar Governorate, Iraq",33.416°N 43.3°E,Iraqi government victory,Iraq; United States,Islamic State of Iraq and the Levant,0,0,0,1,0,0,0,224,350,143,0,sideB casualty count is mean of 150-297 estimate
Russian military support in the Syrian Civil War,Q21032720,1,1,2015-09-30,NA,Syria,NA,NA,Army of Conquest; Tahrir al-Sham; Syrian Opposition; Syrian Democratic Forces; United States,Russia; Iran; Armenia; Syrian Democratic Forces; Turkey,0,0,0,0,0,0,0,NA,NA, NA,NA,three-sided conflict
Kunduz hospital airstrike,Q21057198,0,1,2015-10-03,2015-10-03,"Kunduz Province, Afghanistan",36.7180°N 68.8623°E,NA,United States,Taliban,0,0,0,1,0,0,1,NA,NA,42,NA,"Target"" Kunduz Trauma Centre, Médicins Sans Frontières hospital; Executed by: United States; Casualties 42 killed, 33 missing; U.S. AC-130 gunship dropped bombs on a medical facility (initially said airstrike was to defend U.S. special forces on the ground; Said the airstrike was requensted by Afghan forces who had come under Taliban fire (coded as belligerent)"
Operation Tidal Wave II,Q22907504,0,0,2015-10-21,2015-10-21,"Omar, Syria; Tanak, Syria; El Isbah, Syria; Sijan, Syria; Jafra, Syria; Azraq, Syria; Barghooth, Syria; Abu Hardan, Syria",34°27′13″N 40°56′12″E,NA,United States,Islamic State of Iraq and the Levant,0,0,0,1,0,0,0,NA,NA,NA,NA,"airstrikes to stop oil transport by ISIL and damage refineries, distribution facilities, and oil infrastructure"
Al-Hawl Offensive (2015),Q21405560,0,1,2015-10-31,2015-11-30,"Al-Harakah Governorate, Syria",36.3914°N 41.1514°E,"Major SDF victory (SDF forces capture Al-Hawl, 240 plus towns and villages, 2 oil fields, two gas stations, the Regiment 121 base, the South Hasakah Dam, six border posts, and one hill; SDF forces capture 1,400 square kilometers (870 square miles) of territory)",Syrian Democratic Forces; International Freedom Battalion; Sinjar Resistance Units; CJTF-OIR (United States),Islamic State of Iraq and the Levant,0,0,0,1,0,0,0,33,493,6,NA,U.S. as airstrike support; 4-8 civilians killed by CJTF-OIR airstrikes median coded
November 2015 Sinjar offensive,Q21472342,0,1,2015-11-12,2015-11-15,"Nineveh Governorate, Iraq",36°19′21″N 41°51′51″E,Kurdish victory,Iraqi Kurdistan; Ezidxan Iraq Command; PKK; Rojava; United States,Islamic State of Iraq and the Levant,0,0,0,1,0,0,0,NA,300,NA,0,
Nineveh Plains offensive,Q21814411,0,1,2015-12-16,2015-12-17,"Nineveh Plains, Iraq",36°37′0″N 43°7′0″E,Coalition victory,Iraqi Kurdistan; Canada; Turkey; United States; United Kingdom; France,Islamic State,0,0,0,1,1,0,0,6,250,NA,NA,"Involvement vaguely mentioned, seems like bombing and CAS"
Tishrin Dam offensive,Q21860041,0,1,2015-12-23,2015-12-30,"Northeastern Aleppo Govenorate, Syria",36°22′53.04″N 38°10′42.96″E,Major SDF victory,Syrian Democratic Forces; United States,Islamic State of Iraq and the Levant,0,0,0,1,0,0,0,9,319,NA,0,
Siege of Fallujah,Q23137890,0,1,2016-02-02,2016-05-22,"Fallujah and Al-Karmah, Anbar Governorate, Iraq",33°25′0.12″N 43°18′0″E,Fallujah is fully beseiged by Iraqi government forces,Iraq; Iran; Quds Force; United States; United Kingdom; Australia,Islamic State of Iraq and the Levant,0,0,0,1,0,0,0,10,520,140,0,
Al-Shaddadi offensive (2016),Q22894201,0,1,2016-02-16,2016-02-24,"Al-Hawakah Governorate, Syria",36°3′21.96″N 40°43′49.08″E,"Major SDF victory (SDF forces capture 315 plus villages anad hamlets, and 2 oil fields; The SDF captures al-Shaddidi city, and the towns of Sabaa, Al-Fadghami, and Al-Arishah; SDF forces capture over 2,4000 square kilometers (1,491 square miles) of territory; ISIL releases the last 42 of the 287-400 Assyrian Christian hostages that they captures in February 2015",Syrian Democratic Forces; International Freedom Battalion; CJTF-OIR,Islamic State of Iraq and the Levant,0,0,0,1,0,0,0,26,455,40,NA,"It was later revelaed that during the offensive, a small number of US commanders had traveled to the frontlines to help advise SDF forces, and to coordinate airstrikes: not accounted for in coding because no direct military. involvement; civilians killed by CJTF-OIR airstrikes"
Northern Aleppo offensive,Q25242026,0,1,2016-03-10,2016-06-08,"Northern Aleppo Governorate, Syria",NA,Indecisive,Free Syrian Army; Turkey; United States,Islamic State of Iraq and the Levant,0,0,0,1,0,0,0,61,578,NA,0,
Battle of Hit (2016),Q23403028,0,1,2016-03-12,2016-04-14,"Hīt District, Anbar Governorate, Iraq",33°38′42″N 42°49′35″E,"Iraqi government victory (Iraqi forces recapture the town of Kabisa, Hīt, and the Hīt District from ISIL)",Iraq; United States; United Kingdom; Australia,Islamic State of Iraq and the Levant,0,0,0,1,0,0,0,62,339,5,NA,"United States, United Kingdom, and Australia provided air support; civilian casualties were executed by ISIL"
2016 Sirte offensive,Q24467647,0,1,2016-05-12,2016-12-06,"Sirte District, Libya",31.2072°N 16.5917°E,"Major GNA Victory (The. GNA captured Abu Qurayn, Bin Jawad, Nofaliya, Harawa, Ghardabeiya Air Base. and Sirte took control of the city; The GNA took control of the city in December 2016)",Government of National Accord; United States; United Kingdom;  Italy,Islamic State of Iraq and the Levant,0,0,0,0,0,1,0,740,2500,37,1,US joined side A 2016-08-01; US casualty was non-combat
Northern Raqqa offensive (May 2016),Q24255637,0,1,2016-05-21,2016-05-30,"Northern Raqqa Governorate, Syria",35.9500°N 39.0167°E,Offensive stalled,Syrian Democratic Forces; United States,Islamic State of Iraq and the Levant,0,0,0,1,0,0,1,18,79,NA,0,US support provided as part of CJTF-OIR coalition
Battle of Fallujah (2016),Q24205448,0,1,2016-05-22,2016-06-29,"Fallujah, Anbar Governorate, Iraq",33.3667°N 43.7667°E,Decisive Iraqi government victory,Iraq; CJTF-OIR; Iran,ISIL (Wilayat al-Fallujah),0,0,0,1,0,0,0,647,2848,112,NA,"location is Fallujah and Al-Karmah, Anbar Governorate, Iraq; side a casualties 394-900 killed median coded"
Tokhar airstrikes (2016),Q28001554,0,1,2016-07-18,2016-07-19,"Tokhar and Hoshriya, Manbij District, Aleppo Governorate, Syria",NA,NA,United States,Syria,0,0,0,1,0,0,0,0,0,134,0,civilian death estimate is between 56-212 and mean is included in civilian casualty count; US botched airstrike and hit civilians I code alleged support?
Battle of al-Hasakah (2016),Q26413779,0,1,2016-08-16,2016-08-23,"Al-Hasakah, Al-Hasakah Governorate, Syria",36°30′42″N 40°44′32″E,Ceasefire; strategic Kurdish victory (The NDF leaves the city and is barred from reentering; Creation of the Hasakah Security Box),Rojava; MFS; CJTF-OIR (United States),Syrian Arab Republic; Iran; Hezbollah,0,1,0,0,0,0,0,14,77,34,NA,Iran and Hezbollah's status as belligerents side B is a Kurdish claim; 27-40 civilians killed median coded; fighter jets prevented Syrian Air Force from striking Kurds in the city; Coalition air patrols in the area to prevent the Strian Air Force from bombing U.S. special forces
Operation Euphrates Shield,Q26690015,0,1,2016-08-24,2017-03-27,"Aleppo Governorate, Syria",36°49′8.4″N 38°0′39.6″E,Turkish and TFSA victory,Turkey; Turkish-backed Free Syrian Army; United States,Islamic State of Iraq and the Levant,0,0,0,1,0,1,0,NA,NA,NA,NA,three-sided conflict with U.S. on both sides
Operation Euphrates Shield ,Q26690015,0,1,2016-08-24,2017-03-27,"Aleppo Governorate, Syria",36°49′8.4″N 38°0′39.6″E,Turkish and TFSA victory,Syrian Democratic Forces; United States,Islamic State of Iraq and the Levant,0,0,0,1,0,1,1,NA,NA,NA,NA,three-sided conflict with U.S. on both sides
Northern al-Bab offensive,Q27630575,0,1,2016-09-16,2016-09-27,"Al-Bab District, Aleppo Governorate, Syria",NA,Offensive aborted,Turkey; Syrian Opposition; United States,Islamic State,0,0,0,0,0,0,1,8,45,NA,0,
September 2016 Deir ez-Zor air raid,Q26945162,0,1,2016-09-17,2016-09-17,"Deir ez-Zor Airport, Deir ez-Zor, Syria",NA,NA,United States; Denmark; Australia; United Kingdom,Syrian Army,0,0,0,1,0,0,0,0,55,NA,0,Airstrikes carried out by CJTF-OIR aircraft; intended target was ISIL but they accidentally hit Syrian Army targets instead 
2016 Dabiq offensive,Q27185813,0,1,2016-09-28,2016-10-16,"Aleppo Governorate, Syria",NA,"Rebel/Turkish victory (Rebel and Turkish forces captured Dabiq, Sawran, Akhtarin and 43 other towns and villages)",Turkey; Syrian rebels; United States,Islamic State,0,0,0,0,0,0,1,90,197,NA,0,"United States acted as support; side B casualties 183-210+ median coded; US military advisors, US special forces involved"
Battle of Mosul (2016–17),Q27429856,0,1,2016-10-16,2017-07-20,Northern Iraq: Southwest Erbil Governorate; Nineveh Governorate,35.8003°N 43.2897°E,Decisive Allied victory,Iraq; United States; Iran; Pakistan; Hezbollah,Islamic State,0,0,0,1,0,0,0,1135,16467,NA,2,US provided air support as part of CJTF-OIR; sideA casualty count includes mean of 900-1200 estimate for Iraqis killed
Battle of Boz Qandahari,Q28223860,0,1,2016-11-03,2016-11-03,"Kunduz, Kunduz Province, Afghanistan",NA,Afghan and U.S. victory,Islamic Republic of Afghanistan; United States,Taliban,0,0,0,1,1,0,1,5,27,33,2,"a training mission conducted between a joint Afghan and US patrol, Taliban militants conrnered the combined U.S.-Afghan patrol forcing them to call in airstrikes in order to escape"
Raqqa campaign (2016–2017),Q27761867,0,1,2016-11-06,2017-10-20,"Raqqa Governorate; Deir ez-Zor Governorate, Syria",35.9500°N 39.0167°E,Decisive SDF/CJTF-OIR victory,Syrian Democratic Forces; United States; Iraqi Kurdistan; Syrian Arab Republic; Russia,Islamic State of Iraq and the Levant,0,0,0,1,1,0,1,1151,6000,2385,1,Russia and Syria are listed as co-belligerents on sideA of the infobox but are separate from US and SDF; US provided support as part of CJTF-OR; US estimates 1100-1200 killed from SDF and SDF only estimates 793 but mean of US estimate is included in side_A casualty count; US estimates that 6000 killed from ISIL while ISIL claims 3784 killed but US estimate included in side_B casulaty count
